"Date" "HomeTeam" "AwayTeam" "FTHG" "FTAG" "FTR"
"293" "02/04/11" "Villarreal" "Barcelona" 0 1 "A"
"294" "03/04/11" "Espanol" "Santander" 1 2 "A"
"295" "03/04/11" "La Coruna" "Mallorca" 2 1 "H"
"296" "03/04/11" "Levante" "Malaga" 3 1 "H"
"297" "03/04/11" "Osasuna" "Ath Madrid" 2 3 "A"
"298" "03/04/11" "Sevilla" "Zaragoza" 3 1 "H"
"299" "03/04/11" "Sociedad" "Hercules" 1 3 "A"
"300" "04/04/11" "Almeria" "Ath Bilbao" 1 3 "A"
"301" "09/04/11" "Ath Bilbao" "Real Madrid" 0 3 "A"
"302" "09/04/11" "Barcelona" "Almeria" 3 1 "H"
"303" "09/04/11" "Mallorca" "Sevilla" 2 2 "D"
"304" "10/04/11" "Ath Madrid" "Sociedad" 3 0 "H"
"305" "10/04/11" "Hercules" "Espanol" 0 0 "D"
"306" "10/04/11" "Malaga" "La Coruna" 0 0 "D"
"307" "10/04/11" "Santander" "Levante" 1 1 "D"
"308" "10/04/11" "Sp Gijon" "Osasuna" 1 0 "H"
"309" "10/04/11" "Valencia" "Villarreal" 5 0 "H"
"310" "11/04/11" "Zaragoza" "Getafe" 2 1 "H"
"311" "16/04/11" "Almeria" "Valencia" 0 3 "A"
"312" "16/04/11" "Getafe" "Sevilla" 1 0 "H"
"313" "16/04/11" "Malaga" "Mallorca" 3 0 "H"
"314" "16/04/11" "Real Madrid" "Barcelona" 1 1 "D"
"315" "17/04/11" "Espanol" "Ath Madrid" 2 2 "D"
"316" "17/04/11" "La Coruna" "Santander" 2 0 "H"
"317" "17/04/11" "Levante" "Hercules" 2 1 "H"
"318" "17/04/11" "Osasuna" "Ath Bilbao" 1 2 "A"
"319" "17/04/11" "Sociedad" "Sp Gijon" 2 1 "H"
"320" "18/04/11" "Villarreal" "Zaragoza" 1 0 "H"
"321" "23/04/11" "Ath Bilbao" "Sociedad" 2 1 "H"
"322" "23/04/11" "Barcelona" "Osasuna" 2 0 "H"
"323" "23/04/11" "Valencia" "Real Madrid" 3 6 "A"
"324" "24/04/11" "Ath Madrid" "Levante" 4 1 "H"
"325" "24/04/11" "Hercules" "La Coruna" 1 0 "H"
"326" "24/04/11" "Mallorca" "Getafe" 2 0 "H"
"327" "24/04/11" "Santander" "Malaga" 1 2 "A"
"328" "24/04/11" "Sevilla" "Villarreal" 3 2 "H"
"329" "24/04/11" "Sp Gijon" "Espanol" 1 0 "H"
"330" "25/04/11" "Zaragoza" "Almeria" 1 0 "H"
"331" "30/04/11" "La Coruna" "Ath Madrid" 0 1 "A"
"332" "30/04/11" "Real Madrid" "Zaragoza" 2 3 "A"
"333" "30/04/11" "Sociedad" "Barcelona" 2 1 "H"
"334" "01/05/11" "Almeria" "Sevilla" 0 1 "A"
"335" "01/05/11" "Levante" "Sp Gijon" 0 0 "D"
"336" "01/05/11" "Malaga" "Hercules" 3 1 "H"
"337" "01/05/11" "Osasuna" "Valencia" 1 0 "H"
"338" "01/05/11" "Santander" "Mallorca" 2 0 "H"
"339" "01/05/11" "Villarreal" "Getafe" 2 1 "H"
"340" "02/05/11" "Espanol" "Ath Bilbao" 2 1 "H"
"341" "07/05/11" "Ath Bilbao" "Levante" 3 2 "H"
"342" "07/05/11" "Ath Madrid" "Malaga" 0 3 "A"
"343" "07/05/11" "Getafe" "Almeria" 2 0 "H"
"344" "07/05/11" "Hercules" "Santander" 2 3 "A"
"345" "07/05/11" "Sevilla" "Real Madrid" 2 6 "A"
"346" "07/05/11" "Sp Gijon" "La Coruna" 2 2 "D"
"347" "07/05/11" "Valencia" "Sociedad" 3 0 "H"
"348" "08/05/11" "Barcelona" "Espanol" 2 0 "H"
"349" "08/05/11" "Mallorca" "Villarreal" 0 0 "D"
"350" "08/05/11" "Zaragoza" "Osasuna" 1 3 "A"
"351" "10/05/11" "La Coruna" "Ath Bilbao" 2 1 "H"
"352" "10/05/11" "Malaga" "Sp Gijon" 2 0 "H"
"353" "10/05/11" "Real Madrid" "Getafe" 4 0 "H"
"354" "10/05/11" "Santander" "Ath Madrid" 2 1 "H"
"355" "11/05/11" "Almeria" "Villarreal" 0 0 "D"
"356" "11/05/11" "Espanol" "Valencia" 2 2 "D"
"357" "11/05/11" "Hercules" "Mallorca" 2 2 "D"
"358" "11/05/11" "Levante" "Barcelona" 1 1 "D"
"359" "11/05/11" "Osasuna" "Sevilla" 3 2 "H"
"360" "11/05/11" "Sociedad" "Zaragoza" 2 1 "H"
"361" "15/05/11" "Almeria" "Mallorca" 3 1 "H"
"362" "15/05/11" "Ath Bilbao" "Malaga" 1 1 "D"
"363" "15/05/11" "Ath Madrid" "Hercules" 2 1 "H"
"364" "15/05/11" "Barcelona" "La Coruna" 0 0 "D"
"365" "15/05/11" "Getafe" "Osasuna" 2 0 "H"
"366" "15/05/11" "Sevilla" "Sociedad" 3 1 "H"
"367" "15/05/11" "Sp Gijon" "Santander" 2 1 "H"
"368" "15/05/11" "Valencia" "Levante" 0 0 "D"
"369" "15/05/11" "Villarreal" "Real Madrid" 1 3 "A"
"370" "15/05/11" "Zaragoza" "Espanol" 1 0 "H"
"371" "21/05/11" "Espanol" "Sevilla" 2 3 "A"
"372" "21/05/11" "Hercules" "Sp Gijon" 0 0 "D"
"373" "21/05/11" "La Coruna" "Valencia" 0 2 "A"
"374" "21/05/11" "Levante" "Zaragoza" 1 2 "A"
"375" "21/05/11" "Malaga" "Barcelona" 1 3 "A"
"376" "21/05/11" "Mallorca" "Ath Madrid" 3 4 "A"
"377" "21/05/11" "Osasuna" "Villarreal" 1 0 "H"
"378" "21/05/11" "Real Madrid" "Almeria" 8 1 "H"
"379" "21/05/11" "Santander" "Ath Bilbao" 1 2 "A"
"380" "21/05/11" "Sociedad" "Getafe" 1 1 "D"
"381" "27/08/11" "Granada" "Betis" 0 1 "A"
"382" "27/08/11" "Sp Gijon" "Sociedad" 1 2 "A"
"383" "27/08/11" "Valencia" "Santander" 4 3 "H"
"384" "28/08/11" "Ath Bilbao" "Vallecano" 1 1 "D"
"385" "28/08/11" "Ath Madrid" "Osasuna" 0 0 "D"
"386" "28/08/11" "Getafe" "Levante" 1 1 "D"
"387" "28/08/11" "Mallorca" "Espanol" 1 0 "H"
"388" "28/08/11" "Sevilla" "Malaga" 2 1 "H"
"389" "28/08/11" "Zaragoza" "Real Madrid" 0 6 "A"
"390" "29/08/11" "Barcelona" "Villarreal" 5 0 "H"
"391" "10/09/11" "Real Madrid" "Getafe" 4 2 "H"
"392" "10/09/11" "Sociedad" "Barcelona" 2 2 "D"
"393" "10/09/11" "Valencia" "Ath Madrid" 1 0 "H"
"394" "10/09/11" "Villarreal" "Sevilla" 2 2 "D"
"395" "11/09/11" "Betis" "Mallorca" 1 0 "H"
"396" "11/09/11" "Espanol" "Ath Bilbao" 2 1 "H"
"397" "11/09/11" "Osasuna" "Sp Gijon" 2 1 "H"
"398" "11/09/11" "Santander" "Levante" 0 0 "D"
"399" "11/09/11" "Vallecano" "Zaragoza" 0 0 "D"
"400" "12/09/11" "Malaga" "Granada" 4 0 "H"
"401" "17/09/11" "Barcelona" "Osasuna" 8 0 "H"
"402" "17/09/11" "Granada" "Villarreal" 1 0 "H"
"403" "17/09/11" "Mallorca" "Malaga" 0 1 "A"
"404" "17/09/11" "Sevilla" "Sociedad" 1 0 "H"
"405" "17/09/11" "Sp Gijon" "Valencia" 0 1 "A"
"406" "18/09/11" "Ath Bilbao" "Betis" 2 3 "A"
"407" "18/09/11" "Ath Madrid" "Santander" 4 0 "H"
"408" "18/09/11" "Getafe" "Vallecano" 0 1 "A"
"409" "18/09/11" "Levante" "Real Madrid" 1 0 "H"
"410" "18/09/11" "Zaragoza" "Espanol" 2 1 "H"
"411" "20/09/11" "Osasuna" "Sevilla" 0 0 "D"
"412" "20/09/11" "Sociedad" "Granada" 1 0 "H"
"413" "20/09/11" "Villarreal" "Mallorca" 2 0 "H"
"414" "21/09/11" "Ath Madrid" "Sp Gijon" 4 0 "H"
"415" "21/09/11" "Malaga" "Ath Bilbao" 1 0 "H"
"416" "21/09/11" "Santander" "Real Madrid" 0 0 "D"
"417" "21/09/11" "Valencia" "Barcelona" 2 2 "D"
"418" "21/09/11" "Vallecano" "Levante" 1 2 "A"
"419" "22/09/11" "Betis" "Zaragoza" 4 3 "H"
