Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
18/12/11,Ath Madrid,Betis,0,2,A
18/12/11,Granada,Levante,2,1,H
18/12/11,Osasuna,Villarreal,2,1,H
18/12/11,Santander,Sociedad,0,0,D
18/12/11,Valencia,Malaga,2,0,H
07/01/12,Levante,Mallorca,0,0,D
07/01/12,Malaga,Ath Madrid,0,0,D
07/01/12,Real Madrid,Granada,5,1,H
07/01/12,Santander,Zaragoza,1,0,H
07/01/12,Sociedad,Osasuna,0,0,D
08/01/12,Betis,Sp Gijon,2,0,H
08/01/12,Espanol,Barcelona,1,1,D
08/01/12,Getafe,Ath Bilbao,0,0,D
08/01/12,Vallecano,Sevilla,2,1,H
08/01/12,Villarreal,Valencia,2,2,D
14/01/12,Granada,Vallecano,1,2,A
14/01/12,Mallorca,Real Madrid,1,2,A
14/01/12,Sevilla,Espanol,0,0,D
14/01/12,Valencia,Sociedad,0,1,A
14/01/12,Zaragoza,Getafe,1,1,D
15/01/12,Ath Bilbao,Levante,3,0,H
15/01/12,Ath Madrid,Villarreal,3,0,H
15/01/12,Barcelona,Betis,4,2,H
15/01/12,Osasuna,Santander,0,2,A
15/01/12,Sp Gijon,Malaga,2,1,H
21/01/12,Betis,Sevilla,1,1,D
21/01/12,Espanol,Granada,3,0,H
21/01/12,Santander,Getafe,1,2,A
21/01/12,Sociedad,Ath Madrid,0,4,A
22/01/12,Levante,Zaragoza,0,0,D
22/01/12,Malaga,Barcelona,1,4,A
22/01/12,Osasuna,Valencia,1,1,D
22/01/12,Real Madrid,Ath Bilbao,4,1,H
22/01/12,Vallecano,Mallorca,0,1,A
23/01/12,Villarreal,Sp Gijon,3,0,H
28/01/12,Espanol,Mallorca,1,0,H
28/01/12,Real Madrid,Zaragoza,3,1,H
28/01/12,Vallecano,Ath Bilbao,2,3,A
28/01/12,Villarreal,Barcelona,0,0,D
29/01/12,Betis,Granada,1,2,A
29/01/12,Levante,Getafe,1,2,A
29/01/12,Malaga,Sevilla,2,1,H
29/01/12,Santander,Valencia,2,2,D
29/01/12,Sociedad,Sp Gijon,5,1,H
30/01/12,Osasuna,Ath Madrid,0,1,A
